ID	Name	Glottocode
BahnarPleiku	BahnarPleiku	bahn1262
BahnarKontum	BahnarKontum	bahn1262
Rengao	Rengao	reng1252
Mel	Mel	cent1992
Stieng	Stieng	bulo1242
Brao	Brao	lave1249
JruLaven	JruLaven	lave1248
Tampuan	Tampuan	tamp1251
Cheng	Cheng	jeng1241
Sapuan	Sapuan	sapu1248
Jeh	Jeh	jehh1245
Sre	Sre	koho1244
Alak	Alak	alak1253
Bunong	Bunong	cent1992
BahnarGolar	BahnarGolar	bahn1262
Kasseng	Kasseng	tali1257
Sedang	Sedang	seda1262
Ramam	Ramam	roma1331
MnongRlm	MnongRlm	east2333
Cua	Cua	cuaa1241
Halang	Halang	hala1252
Chrau	Chrau	chra1242
Nyaheun	Nyaheun	nyah1249
Khaonh	Khaonh	cent1992
